"十年树木，百年树人！张贵普——身边的正能量纪实！（求加精）",http://tieba.baidu.com/p/4731324337
"河北诗刊;河北",http://tieba.baidu.com/p/716800158
"【公告】河北吧吧务咨询暨违规信息反馈专贴",http://tieba.baidu.com/p/2589007334
"内裤也要同穿？盘点大学宿舍最令人反感的行为",http://tieba.baidu.com/p/4763543613
"醉酒后把男闺蜜认成了喜欢的男神，这下尴尬了",http://tieba.baidu.com/p/4763513191
"秘鲁传统节日公牛发狂撞飞一男子",http://tieba.baidu.com/p/4763512941
"在唐山生活的外国友人!",http://tieba.baidu.com/p/4763463568
"来啊，快活啊！有没有一瞬间你会感觉爽得飞起来？",http://tieba.baidu.com/p/4757162502
"街头出现讲笑话的人，小哥四川话讲“污”段子",http://tieba.baidu.com/p/4763468181
"广东19岁女生疑因学费被骗自杀 自称不想害苦父母",http://tieba.baidu.com/p/4763336309
"新娘闺蜜帮忙布置婚房，没想到新郎却是个禽兽！",http://tieba.baidu.com/p/4763322106
"疯狂科学实验集锦 微博@爷爱怀旧 #爷爱怀旧#",http://tieba.baidu.com/p/4763136887
"一辆汽车着火引发连环火灾 一名司机浑身火焰狂奔求助 微博@爷爱",http://tieba.baidu.com/p/4763137147
"小伙子动机不纯，相亲约到小树林里，可惜这女的是女汉纸，你惨了",http://tieba.baidu.com/p/4763293815
"《寻闫锐鳌钻法律的空间带罪逃避》身份证132927197412",http://tieba.baidu.com/p/4763583091
"犀利肖骁说：奸情就该公开撕 今天多忍你 将来就会多恨自己",http://tieba.baidu.com/p/4763392157
"我想问一下为什么删我的帖子",http://tieba.baidu.com/p/4762601588
"这首情歌，实在太美太好听了，送给天下有情人！",http://tieba.baidu.com/p/4762955728
"现代轿车左转抢行，遇上了疾驰的东风标致",http://tieba.baidu.com/p/4762923004
"石家庄与杭州还差多少？",http://tieba.baidu.com/p/1058300245
"棒子吹牛了，曾经号称10：0中国，事实证明：太能吹牛了吧",http://tieba.baidu.com/p/4762520712
"男友5600米海拔求婚谭维维 两人激动拥吻！",http://tieba.baidu.com/p/4763334098
