"沧州一男子在 百度贴吧——沧州吧 发帖被判刑！",http://tieba.baidu.com/p/4756660664
"十年树木，百年树人！张贵普——身边的正能量纪实！",http://tieba.baidu.com/p/4729641472
"百千万志愿者者在行动----------结核病防治核心知识",http://tieba.baidu.com/p/4726836464
"犀利肖骁说：奸情就该公开撕 今天多忍你 将来就会多恨自己",http://tieba.baidu.com/p/4763393137
"这年头当骗子不容易，但是你不能侮辱我啊",http://tieba.baidu.com/p/4763451530
"忍不住看了好几遍，笑了好几天，那蛇在干什么",http://tieba.baidu.com/p/4763210470
"夫妻离婚吃最后一顿饭，感动了千万人！",http://tieba.baidu.com/p/4762822335
"瘾君子竟然将妻子送给太监！实行两夫一妻！",http://tieba.baidu.com/p/4747495550
"想到这碗高颜值剩米饭的逆袭，好吃的让人想舔屏！更多精彩美食视频",http://tieba.baidu.com/p/4763277692
"这首情歌，实在太美太好听了，送给天下有情人！",http://tieba.baidu.com/p/4762956755
"美女酒吧翻唱超好听的《走在冷风中》",http://tieba.baidu.com/p/4762955711
"小伙子开着摩托车去公司遭赶走，当得知是新董事长后态度大转变",http://tieba.baidu.com/p/4763263681
"文夫人为了陷害包拯不惜砸断自己双腿，不料四鬼出现救下包拯",http://tieba.baidu.com/p/4762787508
"2016年9月2日 星期五，央视早间天气预报",http://tieba.baidu.com/p/4762932987
"农村里办白喜事 15岁小孩一首歌 村里人全部跟着哭了！.",http://tieba.baidu.com/p/4762858500
"9条狗大战一头野猪，场面失控",http://tieba.baidu.com/p/4763420956
"民间神技，做饺子皮不用擀面杖",http://tieba.baidu.com/p/4763150835
"肯定有人用，而且越来越多",http://tieba.baidu.com/p/4754982996
"《寻闫锐鳌钻法律的空间带罪逃避》身份证132927197412",http://tieba.baidu.com/p/4763585645
"葡萄",http://tieba.baidu.com/p/4763584759
"这贴吧现在都没法看来",http://tieba.baidu.com/p/4763453590
"我终于战胜皂泻，感觉自己重生了一次一般，生活上了正轨",http://tieba.baidu.com/p/4762070115
"公安局长陪领导给酒店剪彩 结果公安局长把酒店老板抓了",http://tieba.baidu.com/p/4763298618
"看这皮虾新鲜不",http://tieba.baidu.com/p/4763143681
"沧州运河区老华北附近有没有单身公寓？？？",http://tieba.baidu.com/p/4763453064
"卖身",http://tieba.baidu.com/p/4763243357
"从今晚后 谁来沧州吧骂我兄弟姐们 我就喷哭你",http://tieba.baidu.com/p/4763555800
"《第1播报》面包车当街自燃 被烧面目全非",http://tieba.baidu.com/p/4763563299
"美女相亲第一句话就问你有房吗",http://tieba.baidu.com/p/4763428163
"宅女也时髦 5分钟减腰瘦腹室内减肥操教程",http://tieba.baidu.com/p/4763143005
"男子驾GTR上路飙车，遇到隧道就迫不及待地炸了起来",http://tieba.baidu.com/p/4763077705
"洗涤日化技术培训班",http://tieba.baidu.com/p/4759596760
"男子在野外放牛 竟拍下椭圆状疑似UFO物体",http://tieba.baidu.com/p/4763516700
"千年神龟大战蟒蛇，高人看见后，悟出绝世武功",http://tieba.baidu.com/p/4763440997
